Time,Message,PnL
07 Aug 09:22,Closed VOLATILE (buy Straddle) due to Smart Exit (Regime Shift),1004.2500000000066
07 Aug 09:44,Entered DIRECTIONAL (buy CE) - Capital Used: ₹117273.00,
07 Aug 09:45,Regime shifted to SIDEWAYS,
07 Aug 09:45,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-682.5
07 Aug 10:17,Regime shifted to DIRECTIONAL,
07 Aug 10:17,Entered DIRECTIONAL (buy CE) - Capital Used: ₹111247.50,
07 Aug 10:18,Trailing Stop raised to 20.00% (High PnL: 0.00%),
07 Aug 10:54,Regime shifted to SIDEWAYS,
07 Aug 10:54,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-3392.9999999999955
07 Aug 11:04,Regime shifted to DIRECTIONAL,
07 Aug 11:04,Entered DIRECTIONAL (buy CE) - Capital Used: ₹114835.50,
07 Aug 11:05,Trailing Stop raised to 19.61% (High PnL: 0.39%),
07 Aug 11:06,Trailing Stop raised to 19.02% (High PnL: 0.98%),
07 Aug 11:07,Trailing Stop raised to 18.54% (High PnL: 1.46%),
07 Aug 11:08,Trailing Stop raised to 18.12% (High PnL: 1.88%),
07 Aug 11:10,Regime shifted to SIDEWAYS,
07 Aug 11:10,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),1735.4999999999955
07 Aug 11:28,Regime shifted to DIRECTIONAL,
07 Aug 11:28,Entered DIRECTIONAL (buy CE) - Capital Used: ₹108907.50,
07 Aug 11:29,Trailing Stop raised to 20.00% (High PnL: 0.00%),
07 Aug 11:34,Regime shifted to SIDEWAYS,
07 Aug 11:34,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-1228.4999999999911
07 Aug 11:52,Regime shifted to DIRECTIONAL,
07 Aug 11:52,Entered DIRECTIONAL (buy CE) - Capital Used: ₹114231.00,
07 Aug 11:53,Trailing Stop raised to 19.62% (High PnL: 0.38%),
