Time,Message,PnL
21 Aug 09:59,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-612982.5
21 Aug 10:00,Entered DIRECTIONAL (buy PE) - Capital Used: ₹27053666.25,
21 Aug 10:01,Trailing Stop moved to 4.63% (High PnL: 0.37%),
21 Aug 10:02,Trailing Stop moved to 2.32% (High PnL: 2.68%),
21 Aug 10:04,Trailing Stop moved to 1.88% (High PnL: 3.12%),
21 Aug 10:05,Trailing Stop moved to 0.91% (High PnL: 4.09%),
21 Aug 10:07,Trailing Stop moved to 0.32% (High PnL: 4.68%),
21 Aug 10:08,Regime shifted to SIDEWAYS,
21 Aug 10:08,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1971196.5000000023
21 Aug 10:09,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹28730000.00,
21 Aug 10:31,Regime shifted to DIRECTIONAL,
21 Aug 10:31,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-41658.50000000008
21 Aug 10:32,Entered DIRECTIONAL (buy PE) - Capital Used: ₹31017801.75,
21 Aug 10:33,Trailing Stop moved to 5.00% (High PnL: 0.00%),
21 Aug 10:35,Trailing Stop moved to 3.19% (High PnL: 1.81%),
21 Aug 10:39,Regime shifted to SIDEWAYS,
21 Aug 10:39,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),561297.7500000028
21 Aug 10:40,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹31460000.00,
21 Aug 10:42,Regime shifted to DIRECTIONAL,
21 Aug 10:42,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-14156.999999999865
21 Aug 10:43,Entered DIRECTIONAL (buy PE) - Capital Used: ₹33980407.50,
21 Aug 10:44,Trailing Stop moved to 5.00% (High PnL: 0.00%),
21 Aug 10:47,Trailing Stop moved to 3.23% (High PnL: 1.77%),
21 Aug 10:52,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-1446555.4999999993
21 Aug 10:53,Entered DIRECTIONAL (buy PE) - Capital Used: ₹32679640.50,
21 Aug 10:54,Trailing Stop moved to 3.90% (High PnL: 1.10%),
21 Aug 10:55,Trailing Stop moved to 2.63% (High PnL: 2.37%),
